problem,M,run,stage,gen,ratio,mean_conf,acc_conv,acc_hyb,auc_conv,auc_hyb,auc_pair_conv,auc_pair_hyb,acc_pair_conv,acc_pair_hyb,n_pairs
DTLZ1,10,3,4,10,0.833333333333333,0.500176983049637,0.8,0.74,0.605625,0.538981288981289,0.528417375565611,0.501778433403276,0.656565656565657,0.577171717171717,9900
DTLZ1,10,3,5,20,1,0.470559356945706,0.66,0.62,0.666666666666667,0.684634974533107,0.595507934078603,0.604441590417502,0.488282828282828,0.451111111111111,9900
DTLZ1,10,4,1,0,0.333333333333333,0.559981363348259,0.7,0.6,0.665714285714286,0.62375,0.568511541218638,0.555056478405316,0.53030303030303,0.434343434343434,9900
DTLZ1,10,4,2,2,0.5,0.450364434647042,0.72,0.6,0.618551587301587,0.51125,0.565125380255384,0.495413621262458,0.553131313131313,0.434343434343434,9900
DTLZ1,10,4,3,5,0.666666666666667,0.480175261805633,0.76,0.66,0.644188596491228,0.602495543672014,0.578597431472303,0.572088318351668,0.602424242424242,0.488282828282828,9900
DTLZ1,10,4,4,10,0.833333333333333,0.500202085571298,0.76,0.68,0.639802631578947,0.604319852941177,0.560272372718697,0.547982649920572,0.602424242424242,0.508686868686869,9900
DTLZ1,10,4,5,20,1,0.549975285536569,0.68,0.68,0.779871323529412,0.717371323529412,0.660085215396514,0.643568935245182,0.508686868686869,0.508686868686869,9900
DTLZ1,10,5,1,0,0.333333333333333,0.669786335616251,0.7,0.58,0.808571428571429,0.730295566502463,0.692087578084997,0.636192260221753,0.53030303030303,0.418787878787879,9900
DTLZ1,10,5,2,2,0.5,0.619721360155176,0.78,0.64,0.678904428904429,0.584201388888889,0.577052593991412,0.549460064999338,0.628888888888889,0.469090909090909,9900
DTLZ1,10,5,3,5,0.666666666666667,0.480253279414037,0.84,0.7,0.58110119047619,0.543333333333333,0.51379729768749,0.520998504864311,0.715555555555556,0.53030303030303,9900
DTLZ1,10,5,4,10,0.833333333333333,0.490255440762549,0.72,0.66,0.662202380952381,0.557040998217469,0.570526723879444,0.522788394679678,0.553131313131313,0.488282828282828,9900
DTLZ1,10,5,5,20,1,0.490493476697283,0.7,0.62,0.750476190476191,0.697368421052632,0.648662447516641,0.605531904162493,0.53030303030303,0.451111111111111,9900
DTLZ1,20,1,1,0,0.333333333333333,0.490434594264848,0.78,0.64,0.726689976689977,0.538628472222222,0.656921883243413,0.518909524015538,0.628888888888889,0.469090909090909,9900
DTLZ1,20,1,2,2,0.5,0.510313851150379,0.72,0.62,0.568948412698413,0.57258064516129,0.498801444276983,0.52182102668821,0.553131313131313,0.451111111111111,9900
DTLZ1,20,1,3,5,0.666666666666667,0.500426518567131,0.78,0.64,0.632867132867133,0.58203125,0.575969108420428,0.53972114392542,0.628888888888889,0.469090909090909,9900
DTLZ1,20,1,4,10,0.833333333333333,0.530315886041157,0.68,0.62,0.743566176470588,0.706706281833616,0.660963758308599,0.625053547343599,0.508686868686869,0.451111111111111,9900
DTLZ1,20,1,5,20,1,0.354475783699059,0.62,0.6,0.744057724957555,0.65875,0.633444595332073,0.582298671096345,0.451111111111111,0.434343434343434,9900
DTLZ1,20,2,1,0,0.333333333333333,0.570165899970161,0.74,0.62,0.753118503118503,0.583191850594228,0.643419629175439,0.515337656898455,0.577171717171717,0.451111111111111,9900
DTLZ1,20,2,2,2,0.5,0.54009841161246,0.76,0.64,0.615679824561403,0.674045138888889,0.520284818668106,0.590758013154565,0.602424242424242,0.469090909090909,9900
DTLZ1,20,2,3,5,0.666666666666667,0.331482385652434,0.66,0.7,0.575757575757576,0.518095238095238,0.553457946337146,0.515813783922171,0.488282828282828,0.53030303030303,9900
DTLZ1,20,2,4,10,0.833333333333333,0.520388524762578,0.74,0.64,0.738045738045738,0.701822916666667,0.641494951001731,0.596123768807922,0.577171717171717,0.469090909090909,9900
DTLZ1,20,2,5,20,1,0.451785933780826,0.64,0.66,0.6953125,0.635472370766488,0.60057969104994,0.565779701322763,0.469090909090909,0.488282828282828,9900
DTLZ1,20,3,1,0,0.333333333333333,0.540204879346549,0.7,0.58,0.67047619047619,0.695812807881773,0.568015238095238,0.597928981135378,0.53030303030303,0.418787878787879,9900
DTLZ1,20,3,2,2,0.5,0.470548245134048,0.78,0.64,0.701631701631702,0.549045138888889,0.625143894962754,0.534819809721583,0.628888888888889,0.469090909090909,9900
DTLZ1,20,3,3,5,0.666666666666667,0.56990704546539,0.78,0.68,0.690559440559441,0.649356617647059,0.595967251316367,0.611157070408846,0.628888888888889,0.508686868686869,9900
DTLZ1,20,3,4,10,0.833333333333333,0.490542372851473,0.8,0.72,0.560625,0.674603174603175,0.49165556561086,0.598402597162433,0.656565656565657,0.553131313131313,9900
DTLZ1,20,3,5,20,1,0.432545132406106,0.62,0.62,0.637945670628183,0.609083191850594,0.572045509349585,0.576158538705973,0.451111111111111,0.451111111111111,9900
DTLZ1,20,4,1,0,0.333333333333333,0.580008604917722,0.76,0.56,0.749451754385965,0.640422077922078,0.642609552981848,0.566173480522192,0.602424242424242,0.404444444444444,9900
DTLZ1,20,4,2,2,0.5,0.341388436507513,0.88,0.68,0.49905303030303,0.458639705882353,0.50294236608389,0.493638402188454,0.779393939393939,0.508686868686869,9900
DTLZ1,20,4,3,5,0.666666666666667,0.440903927880885,0.76,0.64,0.569078947368421,0.643229166666667,0.531938582715807,0.588826419779306,0.602424242424242,0.469090909090909,9900
DTLZ1,20,4,4,10,0.833333333333333,0.431346130494326,0.72,0.66,0.52827380952381,0.533422459893048,0.507311041308646,0.522780064423911,0.553131313131313,0.488282828282828,9900
DTLZ1,20,4,5,20,1,0.490867565737862,0.62,0.64,0.790747028862479,0.727864583333333,0.667049169276524,0.64927429641953,0.451111111111111,0.469090909090909,9900
DTLZ1,20,5,1,0,0.333333333333333,0.570155811305098,0.74,0.66,0.703742203742204,0.741978609625668,0.602952388422097,0.648966452099968,0.577171717171717,0.488282828282828,9900
DTLZ1,20,5,2,2,0.5,0.560122848422057,0.84,0.72,0.654017857142857,0.668154761904762,0.577204832593296,0.623591090234949,0.715555555555556,0.553131313131313,9900
DTLZ1,20,5,3,5,0.666666666666667,0.470924657852412,0.82,0.74,0.616531165311653,0.60966735966736,0.564626140069632,0.559202542066903,0.685454545454545,0.577171717171717,9900
DTLZ1,20,5,4,10,0.833333333333333,0.480749211932303,0.7,0.66,0.534285714285714,0.495098039215686,0.507415135688684,0.482257943593061,0.53030303030303,0.488282828282828,9900
DTLZ1,20,5,5,20,1,0.511658325625642,0.64,0.66,0.703993055555556,0.627450980392157,0.615197331592326,0.578248460821909,0.469090909090909,0.488282828282828,9900
DTLZ2,10,1,1,0,0.333333333333333,0.579375244165132,0.7,0.66,0.71952380952381,0.748217468805704,0.605591725550435,0.625655783051392,0.53030303030303,0.488282828282828,9900
DTLZ2,10,1,2,2,0.5,0.495516895892196,0.8,0.76,0.553125,0.56469298245614,0.530457375565611,0.541578229539841,0.656565656565657,0.602424242424242,9900
DTLZ2,10,1,3,5,0.666666666666667,0.450196424562377,0.86,0.68,0.454318936877076,0.420496323529412,0.471214014685016,0.463572475544501,0.746868686868687,0.508686868686869,9900
DTLZ2,10,1,4,10,0.833333333333333,0.466334824248718,0.86,0.74,0.581395348837209,0.474012474012474,0.586411708464468,0.509936366383537,0.746868686868687,0.577171717171717,9900
