problem,M,run,stage,ratio,variant,mean_conf,gate_weighted,delta_mean_conf,spearman_vs_base,jaccard_vs_base
DTLZ1,10,1,4,0.833333333333333,de_wfg,0.531015258071991,0,-0.0787170253656324,0.666954695469547,0.5625
DTLZ1,10,1,4,0.833333333333333,minmax,0.519740805531143,0,-0.0899914779064809,-0.447608760876088,0.428571428571429
DTLZ1,10,1,5,1,base,0.430604670180729,0,0,1,1
DTLZ1,10,1,5,1,x0.1,0.435849584284619,0,0.00524491410389072,1,1
DTLZ1,10,1,5,1,x10,0.430060671134105,0,-0.000543999046623278,1,1
DTLZ1,10,1,5,1,x100,0.430006069161819,0,-0.00059860101890935,1,1
DTLZ1,10,1,5,1,wfg_style,0.430034670146945,0,-0.00057000003378388,0.811881188118812,0.785714285714286
DTLZ1,10,1,5,1,de_wfg,0.439550274482951,0,0.00894560430222274,0.822154215421542,0.724137931034483
DTLZ1,10,1,5,1,minmax,0.533357467776983,0,0.102752797596255,-0.311671167116712,0.612903225806452
DTLZ1,20,1,1,0.333333333333333,base,0.490434594264848,0,0,1,1
DTLZ1,20,1,1,0.333333333333333,x0.1,0.494145929092562,0,0.00371133482771463,1,1
DTLZ1,20,1,1,0.333333333333333,x10,0.490043668447954,0,-0.000390925816893539,1,1
DTLZ1,20,1,1,0.333333333333333,x100,0.490004368944416,0,-0.000430225320431743,1,1
DTLZ1,20,1,1,0.333333333333333,wfg_style,0.490012887925679,0,-0.000421706339169159,0.966696669666967,0.923076923076923
DTLZ1,20,1,1,0.333333333333333,de_wfg,0.512081978062852,0,0.0216473837980044,0.985490549054906,0.923076923076923
DTLZ1,20,1,1,0.333333333333333,minmax,0.541752947599384,0,0.0513183533345357,-0.0580978097809781,0.388888888888889
DTLZ1,20,1,2,0.5,base,0.510313851150379,0,0,1,1
DTLZ1,20,1,2,0.5,x0.1,0.512935317946289,0,0.00262146679591091,1,1
DTLZ1,20,1,2,0.5,x10,0.510031599731489,0,-0.000282251418889601,1,1
DTLZ1,20,1,2,0.5,x100,0.510003162131332,0,-0.000310689019046517,1,1
DTLZ1,20,1,2,0.5,wfg_style,0.500010569782453,0,-0.0103032813679254,0.98976297629763,0.851851851851852
DTLZ1,20,1,2,0.5,de_wfg,0.511332864017844,0,0.00101901286746575,0.910543054305431,0.923076923076923
DTLZ1,20,1,2,0.5,minmax,0.518555775793145,0,0.00824192464276663,-0.0701110111011101,0.315789473684211
DTLZ1,20,1,3,0.666666666666667,base,0.500426518567131,0,0,1,1
DTLZ1,20,1,3,0.666666666666667,x0.1,0.503956028469689,0,0.00352950990255863,1,1
DTLZ1,20,1,3,0.666666666666667,x10,0.500042982715807,0,-0.000383535851324002,1,1
DTLZ1,20,1,3,0.666666666666667,x100,0.500004301603363,0,-0.00042221696376743,1,1
DTLZ1,20,1,3,0.666666666666667,wfg_style,0.490014440149182,0,-0.0104120784179492,0.995655565556556,0.923076923076923
DTLZ1,20,1,3,0.666666666666667,de_wfg,0.540966824033273,0,0.0405403054661418,0.945550555055506,0.851851851851852
